""	"Featureid2"	"Featureid"	"tubeID"	"IndID"	"NestID"	"SampleForm"	"Age"	"SimpleAge"	"Stage1"	"SampleForm2"	"EggViability"	"IE_XE"	"Poo_Cloaca"	"EmbrioMortality"	"TurtleMortalityRate"	"DayDeath"	"Worm"	"Eye"	"Bloated"	"DeformedPls"	"W"	"PW"	"PL"	"CW"	"CL"	"WT"	"VisualInsp"	"TEFPCR"	"PCRControl"	"Stage"	"betadist"	"source"	"Unknown"	"SampleFrom"
"11"	"107"	"107"	"Pu.ACN1T1.5"	"H1N1"	"1"	"Turtle"	"25"	">10"	"day25"	"Turtle"	"HVE"	NA	"C"	"H"	"LM"	">30"	"A"	"A"	"A"	"A"	17	"2,8"	"3,8"	"3,9"	"4,6"	"24,4"	"HviH"	"HFiNeg"	"Sample"	"day25"	30.8405861725009	0.00181	0.99819	"Hatchling cloaca"
"12"	"109"	"109"	"Pu.ACN1T1.7"	"H1N1"	"1"	"Turtle"	"62"	">30"	"day30andGreater"	"Turtle"	"HVE"	NA	"C"	"H"	"LM"	">30"	"A"	"A"	"A"	"A"	20	"2,9"	"4,1"	"4,2"	"4,8"	NA	"HviH"	"HFiNeg"	"Sample"	"day30andGreater"	21.6196483087405	0.00017	0.99983	"Hatchling cloaca"
"13"	"110"	"110"	"Pu.ACN1H2"	"H2N1"	"1"	"Egg"	"Egg"	"Egg"	"HatchedEgg"	"Turtle"	"HVE"	"IE"	NA	"H"	NA	"2"	NA	NA	"A"	"A"	NA	NA	NA	NA	NA	NA	"EviH"	"EFiNeg"	"Sample"	"HatchedEgg"	20.6152115366804	0.68024	0.31976	"Inner eggshell"
"14"	"111"	"111"	"Pu.ACN1T2.0"	"H2N1"	"1"	"Turtle"	"0"	"<5"	"day0"	"Turtle"	"HVE"	NA	"C"	"H"	"EM"	"2"	"P"	"A"	"A"	"A"	15	"2,8"	"3,6"	"3,3"	"4"	NA	"HviH"	"HFiNeg"	"Sample"	"day0"	24.3811698985738	0.94975	0.05025	"Hatchling cloaca"
"15"	"112"	"112"	"Pu.ACN1T2.1"	"H2N1"	"1"	"Turtle"	"5"	"5"	"day5"	"Turtle"	"HVE"	NA	"P"	"H"	"EM"	"2"	"P"	"A"	"A"	"A"	15	"2,8"	"3,6"	"3,3"	"4"	NA	"HviUn"	"HFiNeg"	"Sample"	"day5"	29.326172877086	0.02277	0.97723	"Hatchling cloaca"
"16"	"113"	"113"	"Pu.ACN1H3"	"H3N1"	"1"	"Egg"	"Egg"	"Egg"	"HatchedEgg"	"Turtle"	"HVE"	"IE"	NA	"H"	NA	">30"	NA	NA	"A"	"A"	NA	NA	NA	NA	NA	NA	"EviH"	"EFiPos"	"Sample"	"HatchedEgg"	23.7502366171079	0.87307	0.12693	"Inner eggshell"
"17"	"115"	"115"	"Pu.ACN1T3.1"	"H3N1"	"1"	"Turtle"	"5"	"5"	"day5"	"Turtle"	"HVE"	NA	"C"	"H"	"LM"	">30"	"A"	"A"	"A"	"A"	16	"2,9"	"3,8"	"3,5"	"4,2"	"24,9"	"HviH"	"HFiNeg"	"Sample"	"day5"	35.0972839483232	0.82397	0.17603	"Hatchling cloaca"
"18"	"116"	"116"	"Pu.ACN1T3.2"	"H3N1"	"1"	"Turtle"	"10"	"10"	"day10"	"Turtle"	"HVE"	NA	"C"	"H"	"LM"	">30"	"A"	"A"	"A"	"A"	16	"3"	"3,9"	"3,7"	"4,4"	"28,1"	"HviH"	"HFiNeg"	"Sample"	"day10"	31.8887800198653	0.00333	0.99667	"Hatchling cloaca"
"19"	"117"	"117"	"Pu.ACN1T3.3"	"H3N1"	"1"	"Turtle"	"15"	">10"	"day15"	"Turtle"	"HVE"	NA	"C"	"H"	"LM"	">30"	"A"	"A"	"A"	"A"	17	"3,1"	"3,9"	"3,8"	"4,5"	"24,9"	"HviH"	"HFiNeg"	"Sample"	"day15"	31.625453339637	9e-05	0.99991	"Hatchling cloaca"
"20"	"118"	"118"	"Pu.ACN1T3.4"	"H3N1"	"1"	"Turtle"	"20"	">10"	"day20"	"Turtle"	"HVE"	NA	"C"	"H"	"LM"	">30"	"A"	"A"	"A"	"A"	17	"3,1"	"3,9"	"3,8"	"4,5"	"26,8"	"HviH"	"HFiNeg"	"Sample"	"day20"	33.0180945538638	0.0027	0.9973	"Hatchling cloaca"
"21"	"119"	"119"	"Pu.ACN1T3.5"	"H3N1"	"1"	"Turtle"	"25"	">10"	"day25"	"Turtle"	"HVE"	NA	"C"	"H"	"LM"	">30"	"A"	"A"	"A"	"A"	17	"3,1"	"3,9"	"3,8"	"4,6"	"26,3"	"HviH"	"HFiNeg"	"Sample"	"day25"	34.0622394400604	0.00094	0.99906	"Hatchling cloaca"
"22"	"121"	"121"	"Pu.ACN1T3.7"	"H3N1"	"1"	"Turtle"	"61"	">30"	"day30andGreater"	"Turtle"	"HVE"	NA	"C"	"H"	"LM"	">30"	"A"	"A"	"A"	"A"	20	"3,3"	"4"	"4,2"	"4,8"	NA	"HviH"	"HFiNeg"	"Sample"	"day30andGreater"	20.5868751197776	0.00084	0.99916	"Hatchling cloaca"
"23"	"122"	"122"	"Pu.ACN1T4.1"	"H4N1"	"1"	"Turtle"	"5"	"5"	"day5"	"Turtle"	"HVE"	NA	"C"	"H"	"MM"	"15"	"A"	"A"	"A"	"A"	16	"3"	"3,7"	"3,5"	"4,2"	"27,6"	"HviH"	"HFiPos"	"Sample"	"day5"	34.4913967656302	0.94706	0.05294	"Hatchling cloaca"
"24"	"123"	"123"	"Pu.ACN1T4.2"	"H4N1"	"1"	"Turtle"	"10"	"10"	"day10"	"Turtle"	"HVE"	NA	"C"	"H"	"MM"	"15"	"A"	"A"	"A"	"A"	16	"3"	"3,7"	"3,6"	"4,2"	"25,3"	"HviH"	"HFiNeg"	"Sample"	"day10"	28.85948754579	0.00159	0.99841	"Hatchling cloaca"
"25"	"124"	"124"	"Pu.ACN1T4.3"	"H4N1"	"1"	"Turtle"	"15"	">10"	"day15"	"Turtle"	"HVE"	NA	"C"	"H"	"MM"	"15"	"A"	"A"	"A"	"A"	16	"3"	"3,7"	"3,7"	"4,4"	"26,5"	"HviH"	"HFiNeg"	"Sample"	"day15"	29.4125752166049	0.00032	0.99968	"Hatchling cloaca"
"26"	"1301"	"1301"	"H1N5"	"H1N5"	"13"	"Egg"	"Egg"	"Egg"	"HatchedEgg"	"Turtle"	"HVE"	"IE"	NA	"H"	NA	"6"	NA	NA	"A"	"A"	NA	NA	NA	NA	NA	NA	"EviH"	"EFiNeg"	"Sample"	"HatchedEgg"	22.8202913210766	0.28411	0.71589	"Inner eggshell"
"27"	"1302"	"1302"	"Pu.ACN5T1.0"	"H1N5"	"13"	"Turtle"	"0"	"<5"	"day0"	"Turtle"	"HVE"	NA	"C"	"H"	"EM"	"6"	"A"	"A"	"A"	"A"	16	"2,8"	"3,6"	"3,7"	"4"	NA	"HviH"	"HFiNeg"	"Sample"	"day0"	22.071387241283	0.31885	0.68115	"Hatchling cloaca"
"28"	"1303"	"1303"	"Pu.ACN5T1.1"	"H1N5"	"13"	"Turtle"	"5"	"5"	"day5"	"Turtle"	"HVE"	NA	"C"	"H"	"EM"	"6"	"A"	"A"	"A"	"A"	15	"2,9"	"3,6"	"3,7"	"4"	"24,8"	"HviH"	"HFiNeg"	"Sample"	"day5"	29.7651666637	0.30509	0.69491	"Hatchling cloaca"
"29"	"1304"	"1304"	"Pu.NHE12"	"NHE12"	"13"	"Egg"	"Embryo"	"Unhatched"	"UnhatchedEgg"	"Turtle"	"HVE"	"IE"	NA	NA	NA	NA	NA	NA	"A"	NA	NA	NA	NA	NA	NA	NA	"EviH"	"EFiNeg"	"Sample"	"UnhatchedEgg"	24.5158542867356	0.91504	0.08496	"Inner eggshell"
"30"	"1403"	"1403"	"Pu.NHE7"	"NHE07"	"14"	"Egg"	"Embryo"	"Unhatched"	"UnhatchedEgg"	"Turtle"	"RVE"	"IE"	NA	NA	NA	NA	NA	NA	"A"	NA	NA	NA	NA	NA	NA	NA	"EviUn"	"EFiPos"	"Sample"	"UnhatchedEgg"	38.6305794204518	0.06833	0.93167	"Inner eggshell"
"31"	"1501"	"1501"	"H1N7"	"H1N7"	"15"	"Egg"	"Egg"	"Egg"	"HatchedEgg"	"Turtle"	"HVE"	"IE"	NA	"H"	NA	"5"	NA	NA	"A"	"A"	NA	NA	NA	NA	NA	NA	"EviH"	"EFiPos"	"Sample"	"HatchedEgg"	22.0587594374417	0.45927	0.54073	"Inner eggshell"
"32"	"1502"	"1502"	"Pu.ACN7T1.0"	"H1N7"	"15"	"Turtle"	"0"	"<5"	"day0"	"Turtle"	"HVE"	NA	"P"	"H"	"EM"	"5"	"A"	"A"	"A"	"A"	14	"2,7"	"3,6"	"3,3"	"3,8"	NA	"HviH"	"HFiPos"	"Sample"	"day0"	20.6382266275762	0.31106	0.68894	"Hatchling cloaca"
"33"	"1503"	"1503"	"Pu.ACN7T1.1"	"H1N7"	"15"	"Turtle"	"5"	"5"	"day5"	"Turtle"	"HVE"	NA	"C"	"H"	"EM"	"5"	"A"	"A"	"A"	"A"	14	"2,7"	"3,6"	"3,3"	"3,8"	NA	"HviH"	"HFiPos"	"Sample"	"day5"	33.5064950576853	0.5906	0.4094	"Hatchling cloaca"
"34"	"1504"	"1504"	"H2N7"	"H2N7"	"15"	"Egg"	"Egg"	"Egg"	"HatchedEgg"	"Turtle"	"HVE"	"IE"	NA	"H"	NA	"1"	NA	NA	"A"	"A"	NA	NA	NA	NA	NA	NA	"EviH"	"EFiPos"	"Sample"	"HatchedEgg"	23.6182078752377	0.91087	0.08913	"Inner eggshell"
"35"	"1505"	"1505"	"Pu.ACN7T2.0"	"H2N7"	"15"	"Turtle"	"0"	"<5"	"day0"	"Turtle"	"HVE"	NA	"C"	"H"	"EM"	"1"	""	"A"	"A"	"A"	15	"2,7"	"3,4"	"3"	"3,5"	NA	"HviH"	"HFiPos"	"Sample"	"day0"	21.0688088564276	0.98468	0.01532	"Hatchling cloaca"
"36"	"1506"	"1506"	"Pu.ACN7T2.1"	"H2N7"	"15"	"Turtle"	"5"	"5"	"day5"	"Turtle"	"HVE"	NA	"C"	"H"	"EM"	"1"	""	"A"	"A"	"A"	15	"2,7"	"3,4"	"3"	"3,5"	NA	"HviH"	"HFiPos"	"Sample"	"day5"	32.8773585503791	0.99444	0.00556	"Hatchling cloaca"
"37"	"1507"	"1507"	"NHE61"	"NHE61"	"15"	"Egg"	"Embryo"	"Unhatched"	"UnhatchedEgg"	"Turtle"	"HVE"	"IE"	NA	NA	NA	NA	NA	NA	"A"	NA	NA	NA	NA	NA	NA	NA	"EviH"	"EFiNeg"	"Sample"	"UnhatchedEgg"	18.156014081119	0.93801	0.06199	"Inner eggshell"
"38"	"1601"	"1601"	"H1N8"	"H1N8"	"16"	"Egg"	"Egg"	"Egg"	"HatchedEgg"	"Turtle"	"RVE"	"IE"	NA	"H"	NA	"1"	NA	NA	"A"	"A"	NA	NA	NA	NA	NA	NA	"EviUn"	"EFiPos"	"Sample"	"HatchedEgg"	22.9452302229141	0.47417	0.52583	"Inner eggshell"
"39"	"1602"	"1602"	"Pu.ACN8T1.0"	"H1N8"	"16"	"Turtle"	"0"	"<5"	"day0"	"Turtle"	"RVE"	NA	"C"	"H"	"EM"	"1"	""	"A"	"A"	"A"	15	"2,7"	"4"	"3,3"	"4,3"	NA	"HviH"	"HFiNeg"	"Sample"	"day0"	22.4104338247952	0.33907	0.66093	"Hatchling cloaca"
"40"	"1603-I"	"1603-I"	"Pu.NHE57_Int"	"NHE57"	"16"	"Egg"	"Embryo"	"Unhatched"	"UnhatchedEgg"	"Turtle"	"RVE"	"IE"	NA	NA	NA	NA	NA	NA	"P"	NA	NA	NA	NA	NA	NA	NA	"EviUn"	"EFiNeg"	"Sample"	"UnhatchedEgg"	22.2001301205551	0.00041	0.99959	"Inner eggshell"
"41"	"1701"	"1701"	"Pu.NHE56"	"NHE56"	"17"	"Egg"	"Embryo"	"Unhatched"	"UnhatchedEgg"	"Turtle"	"RVE"	"IE"	NA	NA	NA	NA	NA	NA	"A"	NA	NA	NA	NA	NA	NA	NA	"EviUn"	"EFiPos"	"Sample"	"UnhatchedEgg"	35.5459393053414	0.4954	0.5046	"Inner eggshell"
"42"	"1801-L"	"1801-L"	"Pu.NHE55_L"	"NHE55"	"18"	"Egg"	"Embryo"	"Unhatched"	"UnhatchedEgg"	"Turtle"	"HVE"	"IE"	NA	NA	NA	NA	NA	NA	"A"	NA	NA	NA	NA	NA	NA	NA	"EviH"	"EFiNeg"	"Sample"	"UnhatchedEgg"	20.3938484413765	0.78058	0.21942	"Inner eggshell"
"43"	"203"	"203"	"Pu.NHE101"	"NHE101"	"2"	"Egg"	"Embryo"	"Unhatched"	"UnhatchedEgg"	"Turtle"	"HVE"	"IE"	NA	NA	NA	NA	NA	NA	"A"	NA	NA	NA	NA	NA	NA	NA	"EviH"	"EFiNeg"	"Sample"	"UnhatchedEgg"	17.8593507334439	0.84119	0.15881	"Inner eggshell"
"44"	"22-W-1-1"	"W-1-1"	"W-1-1"	"W-1-1"	"W-1-1"	"Env"	"EnvWater"	"EnvWater"	"RiverEnvironment"	"Environment"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Sample"	"RiverEnvironment"	24.7133763013076	6e-04	0.9994	"Env"
"45"	"22-W1-10"	"W1-10"	"W1-10"	"W1-10"	"W1-10"	"Env"	"EnvWater"	"EnvWater"	"RiverEnvironment"	"Environment"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Sample"	"RiverEnvironment"	26.9948016101306	0.00186	0.99814	"Env"
"46"	"22-W1-11"	"W1-11"	"W1-11"	"W1-11"	"W1-11"	"Env"	"EnvWater"	"EnvWater"	"RiverEnvironment"	"Environment"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Sample"	"RiverEnvironment"	23.6035962633827	0.00021	0.99979	"Env"
"47"	"22-W1-4"	"W1-4"	"W1-4"	"W1-4"	"W1-4"	"Env"	"EnvWater"	"EnvWater"	"RiverEnvironment"	"Environment"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Sample"	"RiverEnvironment"	26.2178274092888	0.00043	0.99957	"Env"
"48"	"22-W1-5"	"W1-5"	"W1-5"	"W1-5"	"W1-5"	"Env"	"EnvWater"	"EnvWater"	"RiverEnvironment"	"Environment"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Sample"	"RiverEnvironment"	28.6418582378883	0.0355	0.9645	"Env"
"49"	"22-W1-6"	"W1-6"	"W1-6"	"W1-6"	"W1-6"	"Env"	"EnvWater"	"EnvWater"	"RiverEnvironment"	"Environment"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Sample"	"RiverEnvironment"	34.9682559209707	0.00163	0.99837	"Env"
"50"	"22-W1-7"	"W1-7"	"W1-7"	"W1-7"	"W1-7"	"Env"	"EnvWater"	"EnvWater"	"RiverEnvironment"	"Environment"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Sample"	"RiverEnvironment"	25.2409094879301	0.00023	0.99977	"Env"
"51"	"22-W1-8"	"W1-8"	"W1-8"	"W1-8"	"W1-8"	"Env"	"EnvWater"	"EnvWater"	"RiverEnvironment"	"Environment"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Sample"	"RiverEnvironment"	29.079379459413	0.01173	0.98827	"Env"
"52"	"22-W1-9"	"W1-9"	"W1-9"	"W1-9"	"W1-9"	"Env"	"EnvWater"	"EnvWater"	"RiverEnvironment"	"Environment"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Sample"	"RiverEnvironment"	31.6474533573234	0.00373	0.99627	"Env"
"53"	"22-W2-10"	"W2-10"	"W2-10"	"W2-10"	"W2-10"	"Env"	"EnvWater"	"EnvWater"	"RiverEnvironment"	"Environment"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Sample"	"RiverEnvironment"	31.1910265705342	0.00104	0.99896	"Env"
"54"	"22-W2-11"	"W2-11"	"W2-11"	"W2-11"	"W2-11"	"Env"	"EnvWater"	"EnvWater"	"RiverEnvironment"	"Environment"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Sample"	"RiverEnvironment"	33.0734664699565	0.00025	0.99975	"Env"
"55"	"22-W2-12"	"W2-12"	"W2-12"	"W2-12"	"W2-12"	"Env"	"EnvWater"	"EnvWater"	"RiverEnvironment"	"Environment"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Sample"	"RiverEnvironment"	27.5817363672131	0.00048	0.99952	"Env"
"56"	"22-W2-13"	"W2-13"	"W2-13"	"W2-13"	"W2-13"	"Env"	"EnvWater"	"EnvWater"	"RiverEnvironment"	"Environment"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Sample"	"RiverEnvironment"	29.4321110969732	0.00087	0.99913	"Env"
"57"	"22-W2-2"	"W2-2"	"W2-2"	"W2-2"	"W2-2"	"Env"	"EnvWater"	"EnvWater"	"RiverEnvironment"	"Environment"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Sample"	"RiverEnvironment"	25.4664000992107	0.0017	0.9983	"Env"
"58"	"22-W2-5"	"W2-5"	"W2-5"	"W2-5"	"W2-5"	"Env"	"EnvWater"	"EnvWater"	"RiverEnvironment"	"Environment"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Sample"	"RiverEnvironment"	30.6871405399	0.00065	0.99935	"Env"
"59"	"22-W2-6"	"W2-6"	"W2-6"	"W2-6"	"W2-6"	"Env"	"EnvWater"	"EnvWater"	"RiverEnvironment"	"Environment"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Sample"	"RiverEnvironment"	28.2255027537262	0.00036	0.99964	"Env"
"60"	"22-W2-7"	"W2-7"	"W2-7"	"W2-7"	"W2-7"	"Env"	"EnvWater"	"EnvWater"	"RiverEnvironment"	"Environment"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Sample"	"RiverEnvironment"	25.0155392582847	0.00173	0.99827	"Env"
"61"	"22-W2-8"	"W2-8"	"W2-8"	"W2-8"	"W2-8"	"Env"	"EnvWater"	"EnvWater"	"RiverEnvironment"	"Environment"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Sample"	"RiverEnvironment"	28.7621721480269	0.00018	0.99982	"Env"
"62"	"22-W2-9"	"W2-9"	"W2-9"	"W2-9"	"W2-9"	"Env"	"EnvWater"	"EnvWater"	"RiverEnvironment"	"Environment"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Sample"	"RiverEnvironment"	27.759272158501	0.00063	0.99937	"Env"
"63"	"22-W3-0"	"W3-0"	"W3-0"	"W3-0"	"W3-0"	"Env"	"EnvWater"	"EnvWater"	"RiverEnvironment"	"Environment"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Sample"	"RiverEnvironment"	36.7943259890209	0.38389	0.61611	"Env"
"64"	"22-W3-1"	"W3-1"	"W3-1"	"W3-1"	"W3-1"	"Env"	"EnvWater"	"EnvWater"	"RiverEnvironment"	"Environment"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Sample"	"RiverEnvironment"	26.4641885244845	0.00151	0.99849	"Env"
"65"	"22-W3-3"	"W3-3"	"W3-3"	"W3-3"	"W3-3"	"Env"	"EnvWater"	"EnvWater"	"RiverEnvironment"	"Environment"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Sample"	"RiverEnvironment"	28.8838755148771	0.01093	0.98907	"Env"
"66"	"22-W3-4"	"W3-4"	"W3-4"	"W3-4"	"W3-4"	"Env"	"EnvWater"	"EnvWater"	"RiverEnvironment"	"Environment"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Sample"	"RiverEnvironment"	28.5988200522832	0.00075	0.99925	"Env"
"67"	"22-W3-5"	"W3-5"	"W3-5"	"W3-5"	"W3-5"	"Env"	"EnvWater"	"EnvWater"	"RiverEnvironment"	"Environment"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Sample"	"RiverEnvironment"	26.6668074693381	0.00053	0.99947	"Env"
"68"	"22-W3-6"	"W3-6"	"W3-6"	"W3-6"	"W3-6"	"Env"	"EnvWater"	"EnvWater"	"RiverEnvironment"	"Environment"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Sample"	"RiverEnvironment"	29.6113934950788	0.01443	0.98557	"Env"
"69"	"22-W3-7"	"W3-7"	"W3-7"	"W3-7"	"W3-7"	"Env"	"EnvWater"	"EnvWater"	"RiverEnvironment"	"Environment"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Sample"	"RiverEnvironment"	28.5943734251473	0.0022	0.9978	"Env"
"70"	"22-W3-8"	"W3-8"	"W3-8"	"W3-8"	"W3-8"	"Env"	"EnvWater"	"EnvWater"	"RiverEnvironment"	"Environment"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Sample"	"RiverEnvironment"	29.0242371683363	0.00247	0.99753	"Env"
"71"	"22-W3-9"	"W3-9"	"W3-9"	"W3-9"	"W3-9"	"Env"	"EnvWater"	"EnvWater"	"RiverEnvironment"	"Environment"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Sample"	"RiverEnvironment"	26.9999517434537	0.00018	0.99982	"Env"
"72"	"2201"	"2201"	"Pu.ACN2H1"	"H1N2"	"22"	"Egg"	"Egg"	"Egg"	"HatchedEgg"	"Turtle"	"HVE"	"IE"	NA	"H"	NA	">30"	NA	NA	"P"	"A"	NA	NA	NA	NA	NA	NA	"EviH"	"EFiNeg"	"Sample"	"HatchedEgg"	25.575585948642	0.98524	0.01476	"Inner eggshell"
"73"	"2203"	"2203"	"Pu.ACN2T1.1"	"H1N2"	"22"	"Turtle"	"5"	"5"	"day5"	"Turtle"	"HVE"	NA	"C"	"H"	"LM"	">30"	"A"	"P"	"P"	"A"	13	"2,7"	"3,9"	"3,5"	"4,2"	"24,9"	"HviH"	"HFiNeg"	"Sample"	"day5"	30.9056598256422	0.01593	0.98407	"Hatchling cloaca"
